invoice_id,invoice_date,invoice_cus_id,invoice_amount
2021020600200001,2021/2/6 09:41,701000008,245
2021020600200002,2021/2/6 09:43,701000001,240
2021020600200003,2021/2/6 09:45,701000010,100
2021020600200004,2021/2/6 09:46,701000010,515
2021020600200005,2021/2/6 09:46,701000010,140
2021020600200006,2021/2/6 09:48,701000010,180
2021020600200007,2021/2/6 09:49,701000010,172
2021020600200008,2021/2/6 09:51,701000010,2
2021020600200009,2021/2/6 09:52,701000010,370
2021020600200010,2021/2/6 09:52,701000010,160
2021020600200011,2021/2/6 09:53,701000010,170
2021020600200012,2021/2/6 09:53,701000010,100
2021020600200013,2021/2/6 09:54,701000010,160
2021020600200014,2021/2/6 09:54,701000010,150
2021020600200015,2021/2/6 09:54,701000010,95
2021020600200016,2021/2/6 09:54,701000010,115
2021020600200017,2021/2/6 09:54,701000010,180
2021020600200018,2021/2/6 09:54,701000002,880
2021020600200019,2021/2/6 09:57,701000011,261
2021020600200020,2021/2/6 09:58,701000011,144
2021020600200021,2021/2/6 09:58,701000010,95
2021020600200022,2021/2/6 09:58,701000010,20
2021020600200023,2021/2/6 10:03,701000012,99
2021020600200024,2021/2/6 10:29,701000013,150
2021020600200025,2021/2/6 10:32,701000014,88
2021020600200026,2021/2/6 10:58,701000010,900
2021020600200027,2021/2/6 10:58,701000010,70
2021020600200028,2021/2/6 10:59,701000010,195
2021020600200029,2021/2/6 10:59,701000010,40
2021020600200030,2021/2/6 10:59,701000010,90
2021020600200031,2021/2/6 10:59,701000010,310
2021020600200032,2021/2/6 10:59,701000010,100
2021020600200033,2021/2/6 10:59,701000002,100
2021020600200034,2021/2/6 11:04,701000015,200
2021020600200035,2021/2/6 11:42,701000010,80
2021020600200036,2021/2/6 12:04,701000010,250
2021020600200037,2021/2/6 12:06,701000019,195
2021020600200038,2021/2/6 12:11,701000020,140
2021020600200039,2021/2/6 12:30,701000010,89
2021020600200040,2021/2/6 12:39,701000010,20
2021020600200041,2021/2/6 12:53,701000021,160
2021020600200042,2021/2/6 13:05,701000022,110
2021020600200043,2021/2/6 13:59,701000023,43
2021020600200044,2021/2/6 14:00,701000010,35
2021020600200045,2021/2/6 14:30,701000024,40
2021020600200046,2021/2/6 14:50,701000025,145
2021020600200047,2021/2/6 15:56,701000010,100
2021020600200048,2021/2/6 16:17,701000029,102
2021020600200049,2021/2/6 16:19,701000030,270
2021020600200050,2021/2/6 16:20,701000010,40
2021020600200051,2021/2/6 16:26,701000031,525
2021020600200052,2021/2/6 16:30,701000031,125
2021020600200053,2021/2/6 16:40,701000001,103
2021020600200054,2021/2/6 16:51,701000033,140
2021020600200055,2021/2/6 16:57,701000010,96
2021020600200056,2021/2/6 17:45,701000010,18
2021020600200057,2021/2/6 18:28,701000036,178
2021020600200058,2021/2/6 18:30,701000036,60
2021020600200059,2021/2/6 18:39,701000037,1980
2021020600200060,2021/2/6 18:40,701000038,9
2021020600200061,2021/2/6 18:56,701000039,240
